run	combo_name	k	precision	recall	f1	max_recall
1	basic	5	0.794	0.675	0.730	0.762
1	str	5	0.867	0.675	0.759	0.762
1	basic-type	5	0.911	0.730	0.811	0.762
1	all-min	5	0.939	0.730	0.821	0.762
1	all	5	0.886	0.738	0.805	0.762
2	basic	5	0.779	0.836	0.806	0.902
2	str	5	0.806	0.820	0.813	0.902
2	basic-type	5	0.915	0.885	0.900	0.902
2	all-min	5	0.905	0.861	0.882	0.902
2	all	5	0.871	0.885	0.878	0.902
3	basic	5	0.858	0.822	0.840	0.890
3	str	5	0.864	0.805	0.833	0.890
3	basic-type	5	0.902	0.856	0.878	0.890
3	all-min	5	0.927	0.856	0.890	0.890
3	all	5	0.887	0.864	0.876	0.890
4	basic	5	0.912	0.709	0.798	0.821
4	str	5	0.905	0.735	0.811	0.821
4	basic-type	5	0.944	0.727	0.821	0.821
4	all-min	5	0.956	0.735	0.831	0.821
4	all	5	0.918	0.761	0.832	0.821
5	basic	5	0.938	0.789	0.857	0.904
5	str	5	0.931	0.825	0.874	0.904
5	basic-type	5	0.960	0.851	0.902	0.904
5	all-min	5	0.952	0.868	0.908	0.904
5	all	5	0.952	0.877	0.913	0.904
6	basic	10	0.785	0.743	0.764	0.894
6	str	10	0.885	0.752	0.813	0.894
6	basic-type	10	0.890	0.858	0.874	0.894
6	all-min	10	0.913	0.841	0.876	0.894
6	all	10	0.923	0.850	0.885	0.894
7	basic	10	0.811	0.846	0.828	0.940
7	str	10	0.878	0.863	0.871	0.940
7	basic-type	10	0.947	0.915	0.930	0.940
7	all-min	10	0.947	0.915	0.930	0.940
7	all	10	0.885	0.923	0.904	0.940
8	basic	10	0.806	0.750	0.777	0.914
8	str	10	0.840	0.767	0.802	0.914
8	basic-type	10	0.953	0.871	0.910	0.914
8	all-min	10	0.902	0.871	0.886	0.914
8	all	10	0.864	0.879	0.872	0.914
9	basic	10	0.864	0.785	0.823	0.909
9	str	10	0.860	0.810	0.834	0.909
9	basic-type	10	0.918	0.835	0.874	0.909
9	all-min	10	0.918	0.835	0.874	0.909
9	all	10	0.888	0.851	0.869	0.909
10	basic	10	0.825	0.853	0.839	0.957
10	str	10	0.828	0.871	0.849	0.957
10	basic-type	10	0.900	0.931	0.915	0.957
10	all-min	10	0.930	0.922	0.926	0.957
10	all	10	0.872	0.940	0.905	0.957
11	basic	20	0.867	0.765	0.813	0.882
11	str	20	0.935	0.731	0.821	0.882
11	basic-type	20	0.935	0.849	0.890	0.882
11	all-min	20	0.936	0.857	0.895	0.882
11	all	20	0.980	0.840	0.905	0.882
12	basic	20	0.892	0.798	0.843	0.904
12	str	20	0.914	0.746	0.821	0.904
12	basic-type	20	0.934	0.868	0.900	0.904
12	all-min	20	0.925	0.860	0.891	0.904
12	all	20	0.907	0.860	0.883	0.904
13	basic	20	0.819	0.768	0.793	0.875
13	str	20	0.908	0.795	0.848	0.875
13	basic-type	20	0.913	0.848	0.880	0.875
13	all-min	20	0.933	0.866	0.898	0.875
13	all	20	0.916	0.875	0.895	0.875
14	basic	20	0.822	0.752	0.786	0.863
14	str	20	0.844	0.786	0.814	0.863
14	basic-type	20	0.911	0.786	0.844	0.863
14	all-min	20	0.939	0.786	0.856	0.863
14	all	20	0.904	0.803	0.851	0.863
15	basic	20	0.757	0.757	0.757	0.860
15	str	20	0.768	0.710	0.738	0.860
15	basic-type	20	0.851	0.804	0.827	0.860
15	all-min	20	0.933	0.785	0.853	0.860
15	all	20	0.843	0.804	0.823	0.860
16	basic	30	0.861	0.806	0.833	0.944
16	str	30	0.906	0.806	0.853	0.944
16	basic-type	30	0.913	0.880	0.896	0.944
16	all-min	30	0.931	0.880	0.905	0.944
16	all	30	0.906	0.889	0.897	0.944
17	basic	30	0.870	0.784	0.825	0.919
17	str	30	0.885	0.766	0.821	0.919
17	basic-type	30	0.960	0.856	0.905	0.919
17	all-min	30	0.960	0.865	0.910	0.919
17	all	30	0.942	0.883	0.912	0.919
18	basic	30	0.820	0.820	0.820	0.919
18	str	30	0.845	0.838	0.842	0.919
18	basic-type	30	0.899	0.883	0.891	0.919
18	all-min	30	0.961	0.892	0.925	0.919
18	all	30	0.908	0.892	0.900	0.919
19	basic	30	0.865	0.738	0.796	0.926
19	str	30	0.919	0.746	0.824	0.926
19	basic-type	30	0.904	0.844	0.873	0.926
19	all-min	30	0.921	0.861	0.890	0.926
19	all	30	0.882	0.861	0.871	0.926
20	basic	30	0.736	0.807	0.770	0.974
20	str	30	0.780	0.868	0.822	0.974
20	basic-type	30	0.917	0.877	0.897	0.974
20	all-min	30	0.927	0.886	0.906	0.974
20	all	30	0.862	0.930	0.895	0.974
21	basic	40	0.790	0.803	0.797	0.932
21	str	40	0.852	0.786	0.818	0.932
21	basic-type	40	0.855	0.855	0.855	0.932
21	all-min	40	0.934	0.846	0.888	0.932
21	all	40	0.885	0.855	0.870	0.932
22	basic	40	0.873	0.828	0.850	0.948
22	str	40	0.862	0.810	0.836	0.948
22	basic-type	40	0.905	0.905	0.905	0.948
22	all-min	40	0.972	0.897	0.933	0.948
22	all	40	0.906	0.914	0.910	0.948
23	basic	40	0.750	0.757	0.753	0.930
23	str	40	0.827	0.748	0.785	0.930
23	basic-type	40	0.792	0.861	0.825	0.930
23	all-min	40	0.866	0.843	0.855	0.930
23	all	40	0.862	0.870	0.866	0.930
24	basic	40	0.824	0.754	0.787	0.900
24	str	40	0.891	0.754	0.817	0.900
24	basic-type	40	0.917	0.846	0.880	0.900
24	all-min	40	0.965	0.838	0.897	0.900
24	all	40	0.957	0.862	0.907	0.900
25	basic	40	0.841	0.789	0.814	0.947
25	str	40	0.869	0.754	0.808	0.947
25	basic-type	40	0.856	0.886	0.871	0.947
25	all-min	40	0.936	0.904	0.920	0.947
25	all	40	0.906	0.930	0.918	0.947